developer_name,developer_name_en,developer_name_cn,developer_name_ko,developer_display_name,app_count,ios_gross_source_revenue_usd,revenue_usd_2025_cn_ios,revenue_basis,revenue_adjustment_multiplier,downloads_2025_cn_ios,avg_arpd_usd_2025_cn_ios,best_rank,developer_city_en,developer_city_ko,developer_country,location_precision,top_games,genres,subgenres,genre_search_text,game_classes,product_models,art_styles,themes,monetization_f2p,monetization_live_ops,monetization_gacha,publishers,corporate_parents,stock_tickers,avg_match_score,primary_genre,primary_subgenre,primary_genre_revenue_usd,primary_genre_revenue_share,primary_genre_top_games,primary_genre_revenue_share_pct,bd_score,bd_priority,bd_fit
"Wuhan Dobest Information Technology Co,  Ltd.","Wuhan Dobest Information Technology Co,  Ltd.","Wuhan Dobest Information Technology Co,  Ltd.",,"Wuhan Dobest Information Technology Co,  Ltd.",16,3463458.22,4848841.507999999,2025 중국 iOS+AOS 추정 순매출,1.4,5514220,1.9795924432372796,460,Wuhan,우한,China,city,"中国象棋 - 天天玩联网中国象棋小游戏, Sudoku - Number puzzle games, 飞行棋—多人飞行棋对战游戏, Chess - Chess Online, The chess of go - fun game, BubPop -Bubble and shooter, The attachment to eliminate-funny games, Block Puz - Block Blast Puzzle, PuzCub - funny games, Numpuz: Number Puzzle Games","Tabletop, Puzzle, Arcade","Board, Numbers, Bubble Shooter, Match Pair, Block, Other Arcade, Word, Jigsaw","Tabletop Board 보드/테이블탑 桌游 보드게임 棋盘游戏 보드/테이블탑 / 보드게임 · 桌游 / 棋盘游戏 · Tabletop / Board, Puzzle Numbers 퍼즐 益智 숫자 퍼즐 数字益智 퍼즐 / 숫자 퍼즐 · 益智 / 数字益智 · Puzzle / Numbers, Puzzle Bubble Shooter 퍼즐 益智 버블 슈터 泡泡龙 퍼즐 / 버블 슈터 · 益智 / 泡泡龙 · Puzzle / Bubble Shooter, Puzzle Match Pair 퍼즐 益智 페어 매칭 配对消除 퍼즐 / 페어 매칭 · 益智 / 配对消除 · Puzzle / Match Pair, Puzzle Block 퍼즐 益智 블록 퍼즐 方块益智 퍼즐 / 블록 퍼즐 · 益智 / 方块益智 · Puzzle / Block, Arcade Other Arcade 아케이드 街机 기타 아케이드 其他街机 아케이드 / 기타 아케이드 · 街机 / 其他街机 · Arcade / Other Arcade, Puzzle Word 퍼즐 益智 단어 퍼즐 文字益智 퍼즐 / 단어 퍼즐 · 益智 / 文字益智 · Puzzle / Word, Puzzle Jigsaw 퍼즐 益智 직소 퍼즐 拼图 퍼즐 / 직소 퍼즐 · 益智 / 拼图 · Puzzle / Jigsaw",Lifestyle & Puzzle,"Casual, Hypercasual","2D Realistic, Flat, 2D Cartoon, 3D Realistic, Hypercasual","Tabletop, Bubbles / Tiles / Colors, Cooking / Food",1.0,,,"Wuhan Dobest Information Technology Co, Ltd.",,,100.0,Tabletop,Board,2717021.244,0.5603444120656955,"中国象棋 - 天天玩联网中国象棋小游戏, 飞行棋—多人飞行棋对战游戏, Chess - Chess Online, The chess of go - fun game, 军棋—四国军棋大战 单机小游戏",56.034441206569554,89.8,A-핵심 타깃,"보드/테이블탑 / 보드게임 · 桌游 / 棋盘游戏 · Tabletop / Board · 56% 집중 · LiveOps · Gacha · Casual, Hypercasual"
"Shanghai Enjoymi Technology Co., Ltd.","Shanghai Enjoymi Technology Co., Ltd.","Shanghai Enjoymi Technology Co., Ltd.",,"Shanghai Enjoymi Technology Co., Ltd.",2,3421254.7199999997,4789756.608,2025 중국 iOS+AOS 추정 순매출,1.4,835300,7.2041763369440055,213,Shanghai,상하이,China,city,"三国战纪：风云再起, 欢动三国战纪2",Action,Beat 'em Up,Action Beat 'em Up 액션 动作 벨트스크롤 액션 清版动作 액션 / 벨트스크롤 액션 · 动作 / 清版动作 · Action / Beat 'em Up,Action & Strategy,Mid-core,"2D Anime, Pixel",Three Kingdoms,1.0,1.0,,Enjoymi Mobile Games,International Games System,,100.0,Action,Beat 'em Up,4789756.608,1.0,"三国战纪：风云再起, 欢动三国战纪2",100.0,86.8,A-핵심 타깃,액션 / 벨트스크롤 액션 · 动作 / 清版动作 · Action / Beat 'em Up · 100% 집중 · LiveOps · Gacha · Mid-core
"BAI XIANG NETWORK TECHNOLOGY (SHANGHAI) CO., LTD","BAI XIANG NETWORK TECHNOLOGY (SHANGHAI) CO., LTD","BAI XIANG NETWORK TECHNOLOGY (SHANGHAI) CO., LTD",,"BAI XIANG NETWORK TECHNOLOGY (SHANGHAI) CO., LTD",2,3374986.1599999997,4724980.623999999,2025 중국 iOS+AOS 추정 순매출,1.4,220759,11.05233718119966,203,Shanghai,상하이,China,city,"哈灵麻将-本地休闲棋牌, 正宗乐平麻将—亲朋好友聚会一起玩",Casino,Mahjong,Casino Mahjong 카지노 博彩/棋牌 마작 麻将 카지노 / 마작 · 博彩/棋牌 / 麻将 · Casino / Mahjong,Casino,Casual,"2D Cartoon, 2D Realistic",Mahjong,1.0,,,"BAI XIANG NETWORK TECHNOLOGY (SHANGHAI) CO., LTD",,,100.0,Casino,Mahjong,4724980.623999999,1.0,"哈灵麻将-本地休闲棋牌, 正宗乐平麻将—亲朋好友聚会一起玩",100.0,85.4,A-핵심 타깃,카지노 / 마작 · 博彩/棋牌 / 麻将 · Casino / Mahjong · 100% 집중 · LiveOps · Gacha · Casual
"Shenzhen Shangyu Technology Co., Ltd.","Shenzhen Shangyu Technology Co., Ltd.","Shenzhen Shangyu Technology Co., Ltd.",,"Shenzhen Shangyu Technology Co., Ltd.",2,3269169.2399999998,4576836.936,2025 중국 iOS+AOS 추정 순매출,1.4,388642,191.7632978787526,209,Shenzhen,선전,China,city,"欢喜斗地主-欢乐棋牌休闲合集, 风云麻将-欢乐真人麻将","Tabletop, Casino","Tabletop Cards, Mahjong","Tabletop Tabletop Cards 보드/테이블탑 桌游 테이블탑 카드 桌面卡牌 보드/테이블탑 / 테이블탑 카드 · 桌游 / 桌面卡牌 · Tabletop / Tabletop Cards, Casino Mahjong 카지노 博彩/棋牌 마작 麻将 카지노 / 마작 · 博彩/棋牌 / 麻将 · Casino / Mahjong","Lifestyle & Puzzle, Casino",Casual,"2D Anime, 2D Cartoon","Tabletop, Mahjong",1.0,1.0,,"Shenzhen Shangyu Technology Co., Ltd.",,,90.0,Tabletop,Tabletop Cards,4521797.615999999,0.9879743760222092,欢喜斗地主-欢乐棋牌休闲合集,98.79743760222091,85.8,A-핵심 타깃,보드/테이블탑 / 테이블탑 카드 · 桌游 / 桌面卡牌 · Tabletop / Tabletop Cards · 99% 집중 · LiveOps · Gacha · Casual
"Beijing TIANMASHIKONG Network Technology Co., Ltd","Beijing TIANMASHIKONG Network Technology Co., Ltd","Beijing TIANMASHIKONG Network Technology Co., Ltd",,"Beijing TIANMASHIKONG Network Technology Co., Ltd",2,3205221.4699999997,4487310.058,2025 중국 iOS+AOS 추정 순매출,1.4,93752,44.246273683181656,240,Beijing,베이징,China,city,"全民奇迹MU, 一拳超人：最强之男",RPG,"MMORPG, Squad RPG","RPG MMORPG RPG/역할수행 角色扮演 MMORPG 大型多人在线RPG RPG/역할수행 / MMORPG · 角色扮演 / 大型多人在线RPG · RPG / MMORPG, RPG Squad RPG RPG/역할수행 角色扮演 스쿼드 RPG 小队RPG RPG/역할수행 / 스쿼드 RPG · 角色扮演 / 小队RPG · RPG / Squad RPG",Action & Strategy,Mid-core,"Stylized Realistic, 2D Anime","Adventure, Superhero",1.0,1.0,1.0,"Beijing TIANMASHIKONG Network Technology Co., Ltd","Independent Brand, Hitotsubashi Group",SHE: 300315,100.0,RPG,MMORPG,3430293.622,0.76444319150277,全民奇迹MU,76.444319150277,81.5,A-핵심 타깃,RPG/역할수행 / MMORPG · 角色扮演 / 大型多人在线RPG · RPG / MMORPG · 76% 집중 · LiveOps · Gacha · Mid-core
Babeltime Inc.,Babeltime Inc.,Babeltime Inc.,,Babeltime Inc.,3,3195602.88,4473844.032,2025 중국 iOS+AOS 추정 순매출,1.4,101777,54.76089227391959,236,,,China,unknown,"放开那三国2-海量福利重磅来袭, 放开那三国, 放开那三国3",RPG,Squad RPG,RPG Squad RPG RPG/역할수행 角色扮演 스쿼드 RPG 小队RPG RPG/역할수행 / 스쿼드 RPG · 角色扮演 / 小队RPG · RPG / Squad RPG,Action & Strategy,Mid-core,"2D Anime, 3D Anime",Three Kingdoms,1.0,1.0,1.0,Babeltime Inc.,,,100.0,RPG,Squad RPG,4473844.032,1.0,"放开那三国2-海量福利重磅来袭, 放开那三国, 放开那三国3",100.0,86.6,A-핵심 타깃,RPG/역할수행 / 스쿼드 RPG · 角色扮演 / 小队RPG · RPG / Squad RPG · 100% 집중 · LiveOps · Gacha · Mid-core
"Shanghai Perfect World Software Co., Ltd.","Shanghai Perfect World Software Co., Ltd.","Shanghai Perfect World Software Co., Ltd.",,"Shanghai Perfect World Software Co., Ltd.",1,3132169.1,4385036.74,2025 중국 iOS+AOS 추정 순매출,1.4,34010,128.93374713319614,212,Shanghai,상하이,China,city,完美世界：诸神之战,RPG,MMORPG,RPG MMORPG RPG/역할수행 角色扮演 MMORPG 大型多人在线RPG RPG/역할수행 / MMORPG · 角色扮演 / 大型多人在线RPG · RPG / MMORPG,Action & Strategy,Mid-core,3D Realistic,Adventure,1.0,1.0,,Shanghai Perfect World,,SHE: 002624,94.0,RPG,MMORPG,4385036.74,1.0,完美世界：诸神之战,100.0,73.4,B-우선 검토,RPG/역할수행 / MMORPG · 角色扮演 / 大型多人在线RPG · RPG / MMORPG · 100% 집중 · LiveOps · Gacha · Mid-core
"Guangzhou Zhongxu Shuke Information Technology Co., Ltd","Guangzhou Zhongxu Shuke Information Technology Co., Ltd","Guangzhou Zhongxu Shuke Information Technology Co., Ltd",,"Guangzhou Zhongxu Shuke Information Technology Co., Ltd",2,2996263.52,4194768.927999999,2025 중국 iOS+AOS 추정 순매출,1.4,160381,27.70490195337905,292,Guangzhou,광저우,China,city,"野兽领主：新世界, 斗罗大陆：史莱克学院","Strategy, RPG","4X Strategy, MMORPG","Strategy 4X Strategy 전략 策略 4X 전략 4X策略 전략 / 4X 전략 · 策略 / 4X策略 · Strategy / 4X Strategy, RPG MMORPG RPG/역할수행 角色扮演 MMORPG 大型多人在线RPG RPG/역할수행 / MMORPG · 角色扮演 / 大型多人在线RPG · RPG / MMORPG",Action & Strategy,Mid-core,"2D Realistic, 3D Anime","Animal - Zoo / Other, Adventure",1.0,1.0,1.0,"Guangzhou Zhongxu Shuke Information Technology Co., Ltd",Independent Brand,,100.0,Strategy,4X Strategy,2351843.102,0.560660942799851,野兽领主：新世界,56.0660942799851,80.1,A-핵심 타깃,전략 / 4X 전략 · 策略 / 4X策略 · Strategy / 4X Strategy · 56% 집중 · LiveOps · Gacha · Mid-core
"Guangdong Liwei Network Technology Co.,Ltd","Guangdong Liwei Network Technology Co.,Ltd","Guangdong Liwei Network Technology Co.,Ltd",,"Guangdong Liwei Network Technology Co.,Ltd",7,2995040.77,4193057.0779999997,2025 중국 iOS+AOS 추정 순매출,1.4,93440,16886.346371822117,235,Guangdong,광둥,China,province_or_region,"王于兴师, 梦想世界：长风问剑录, 梦想帝王-古代名将战争策略手游, 九州劫-沙盘战争策略手游, 幻唐志：洪荒现世-策略放置卡牌手游, 狭道英雄, 绯梦契约","Strategy, RPG","4X Strategy, MMORPG, Idle RPG","Strategy 4X Strategy 전략 策略 4X 전략 4X策略 전략 / 4X 전략 · 策略 / 4X策略 · Strategy / 4X Strategy, RPG MMORPG RPG/역할수행 角色扮演 MMORPG 大型多人在线RPG RPG/역할수행 / MMORPG · 角色扮演 / 大型多人在线RPG · RPG / MMORPG, RPG Idle RPG RPG/역할수행 角色扮演 방치형 RPG 放置RPG RPG/역할수행 / 방치형 RPG · 角色扮演 / 放置RPG · RPG / Idle RPG",Action & Strategy,Mid-core,"3D Realistic, 3D Anime, 2D Realistic, 2D Anime","Three Kingdoms, Wuxia, Chinese Cultural, Sengoku, Dungeon Crawler, Adventure",1.0,1.0,1.0,Liwei Network,,,100.0,Strategy,4X Strategy,3759343.4899999998,0.8965638721505618,"王于兴师, 梦想帝王-古代名将战争策略手游, 九州劫-沙盘战争策略手游",89.65638721505617,87.8,A-핵심 타깃,전략 / 4X 전략 · 策略 / 4X策略 · Strategy / 4X Strategy · 90% 집중 · LiveOps · Gacha · Mid-core
"Hefei Letangdongman Information Technology Co., Ltd","Hefei Letangdongman Information Technology Co., Ltd","Hefei Letangdongman Information Technology Co., Ltd",,"Hefei Letangdongman Information Technology Co., Ltd",9,2925328.37,4095459.718,2025 중국 iOS+AOS 추정 순매출,1.4,1351161,2.655365786800186,246,Anhui,안후이,China,province_or_region,"奥特曼传奇英雄2, 奥特曼宇宙英雄 - 80种奥特曼大集结！, 熊出没之熊大农场（官方正版）-策略类小游戏, 铠甲勇士之英雄传说（官方正版）-刑天机甲大战怪兽, 模拟农场 - 合成游戏, Harvest Farm - Farm games, 奥特曼之格斗超人-布莱泽奥特曼来袭, 熊出没之熊大快跑2021 - 熊大熊二跑酷游戏, 熊出没之机甲熊大-超级机甲大作战","Action, RPG, Simulation, Arcade, Puzzle, Strategy","Beat 'em Up, Action RPG, Tycoon / Crafting, Platformer / Runner, Match Merge 3, MOBA, MMORPG","Action Beat 'em Up 액션 动作 벨트스크롤 액션 清版动作 액션 / 벨트스크롤 액션 · 动作 / 清版动作 · Action / Beat 'em Up, RPG Action RPG RPG/역할수행 角色扮演 액션 RPG 动作RPG RPG/역할수행 / 액션 RPG · 角色扮演 / 动作RPG · RPG / Action RPG, Simulation Tycoon / Crafting 시뮬레이션 模拟经营 타이쿤/제작 大亨/制作 시뮬레이션 / 타이쿤/제작 · 模拟经营 / 大亨/制作 · Simulation / Tycoon / Crafting, Arcade Platformer / Runner 아케이드 街机 플랫포머/러너 平台跑酷 아케이드 / 플랫포머/러너 · 街机 / 平台跑酷 · Arcade / Platformer / Runner, Puzzle Match Merge 3 퍼즐 益智 3매치 머지 三合一合成 퍼즐 / 3매치 머지 · 益智 / 三合一合成 · Puzzle / Match Merge 3, Strategy MOBA 전략 策略 MOBA 多人在线战术竞技 전략 / MOBA · 策略 / 多人在线战术竞技 · Strategy / MOBA, RPG MMORPG RPG/역할수행 角色扮演 MMORPG 大型多人在线RPG RPG/역할수행 / MMORPG · 角色扮演 / 大型多人在线RPG · RPG / MMORPG","Action & Strategy, Lifestyle & Puzzle","Mid-core, Casual","3D Cartoon, 3D Anime, 2D Cartoon","Superhero, Farming, Mech, Animal - Zoo / Other",1.0,1.0,1.0,乐堂动漫信息技术有限公司,"Bandai Namco, 华强方特",,100.0,Action,Beat 'em Up,3338175.778,0.815091835314201,奥特曼传奇英雄2,81.5091835314201,90.7,A-핵심 타깃,"액션 / 벨트스크롤 액션 · 动作 / 清版动作 · Action / Beat 'em Up · 82% 집중 · LiveOps · Gacha · Mid-core, Casual"
"Beijing Yunchang Game Technology Co., Ltd.","Beijing Yunchang Game Technology Co., Ltd.",上海蛙扑网络技术有限公司,,上海蛙扑网络技术有限公司,4,2899227.3299999996,4058918.2619999996,2025 중국 iOS+AOS 추정 순매출,1.4,164758,10.698625352637611,221,Beijing,베이징,China,city,"航海王：燃烧意志-正版授权, 不良人3, 洛克人：时空裂隙, 不良人3福利版","Action, RPG","Fighting, Hack and Slash, Action RPG","Action Fighting 액션 动作 격투 格斗 액션 / 격투 · 动作 / 格斗 · Action / Fighting, Action Hack and Slash 액션 动作 핵앤슬래시 砍杀 액션 / 핵앤슬래시 · 动作 / 砍杀 · Action / Hack and Slash, RPG Action RPG RPG/역할수행 角色扮演 액션 RPG 动作RPG RPG/역할수행 / 액션 RPG · 角色扮演 / 动作RPG · RPG / Action RPG",Action & Strategy,"Mid-core, Hybridcasual","3D Anime, Stylized Realistic, 2D Cartoon","Pirate, Wuxia, Adventure",1.0,1.0,1.0,"Beijing Yunchang Game Technology Co., Ltd.","Hitotsubashi Group, 北京若森数字科技有限公司",,96.0,Action,Fighting,3978455.2919999994,0.9801762526845385,航海王：燃烧意志-正版授权,98.01762526845384,88.1,A-핵심 타깃,"액션 / 격투 · 动作 / 格斗 · Action / Fighting · 98% 집중 · LiveOps · Gacha · Mid-core, Hybridcasual"
"Shanghai Happy Sound Technology Development Co.,Ltd","Shanghai Happy Sound Technology Development Co.,Ltd","Shanghai Happy Sound Technology Development Co.,Ltd",,"Shanghai Happy Sound Technology Development Co.,Ltd",3,2867271.92,4014180.6879999996,2025 중국 iOS+AOS 추정 순매출,1.4,1415477,4.1590715597029195,315,Shanghai,상하이,China,city,"假日乐消消, 海滨消消乐, 溯回青空","Puzzle, RPG","Match Swap, Squad RPG","Puzzle Match Swap 퍼즐 益智 스왑 매치3 交换消除 퍼즐 / 스왑 매치3 · 益智 / 交换消除 · Puzzle / Match Swap, RPG Squad RPG RPG/역할수행 角色扮演 스쿼드 RPG 小队RPG RPG/역할수행 / 스쿼드 RPG · 角色扮演 / 小队RPG · RPG / Squad RPG","Lifestyle & Puzzle, Action & Strategy","Casual, Mid-core","2D Cartoon, 2D Anime","Animal - Zoo / Other, Chibi Creature, Dungeon Crawler",1.0,1.0,,乐元素,,,100.0,Puzzle,Match Swap,3975184.738,0.9902854522427019,"假日乐消消, 海滨消消乐",99.02854522427019,89.3,A-핵심 타깃,"퍼즐 / 스왑 매치3 · 益智 / 交换消除 · Puzzle / Match Swap · 99% 집중 · LiveOps · Gacha · Casual, Mid-core"
"Shanghai Game Reign Network Technology Co., Ltd.","Shanghai Game Reign Network Technology Co., Ltd.","Shanghai Game Reign Network Technology Co., Ltd.",,"Shanghai Game Reign Network Technology Co., Ltd.",2,2840703.98,3976985.5719999997,2025 중국 iOS+AOS 추정 순매출,1.4,45644,73.21407770222258,223,Shanghai,상하이,China,city,"《攻城掠地》手机游戏软件（移动）, 悠长假期 (Tour of Neverland)","Strategy, Simulation","4X Strategy, Avatar Life","Strategy 4X Strategy 전략 策略 4X 전략 4X策略 전략 / 4X 전략 · 策略 / 4X策略 · Strategy / 4X Strategy, Simulation Avatar Life 시뮬레이션 模拟经营 아바타 라이프 虚拟形象生活 시뮬레이션 / 아바타 라이프 · 模拟经营 / 虚拟形象生活 · Simulation / Avatar Life","Action & Strategy, Lifestyle & Puzzle","Mid-core, Casual","2D Realistic, 3D Anime","Three Kingdoms, Farming",1.0,1.0,1.0,"Shanghai Game Reign Network Technology Co., Ltd.",,,100.0,Strategy,4X Strategy,3913541.758,0.9840472607075378,《攻城掠地》手机游戏软件（移动）,98.40472607075378,81.5,A-핵심 타깃,"전략 / 4X 전략 · 策略 / 4X策略 · Strategy / 4X Strategy · 98% 집중 · LiveOps · Gacha · Mid-core, Casual"
IGG SINGAPORE PTE. LTD.,IGG SINGAPORE PTE. LTD.,IGG SINGAPORE PTE. LTD.,,IGG SINGAPORE PTE. LTD.,1,2770392.98,3878550.172,2025 중국 iOS+AOS 추정 순매출,1.4,199918,19.400705149111136,224,,,China,unknown,Lords Mobile: Kingdom Wars,Strategy,4X Strategy,Strategy 4X Strategy 전략 策略 4X 전략 4X策略 전략 / 4X 전략 · 策略 / 4X策略 · Strategy / 4X Strategy,Action & Strategy,Mid-core,3D Cartoon,Empire Building,1.0,1.0,,IGG SINGAPORE PTE. LTD.,,HKG: 0799,94.0,Strategy,4X Strategy,3878550.172,1.0,Lords Mobile: Kingdom Wars,100.0,76.7,A-핵심 타깃,전략 / 4X 전략 · 策略 / 4X策略 · Strategy / 4X Strategy · 100% 집중 · LiveOps · Gacha · Mid-core
"Xiamen Woobest Interactive Network Technology Co.,Ltd","Xiamen Woobest Interactive Network Technology Co.,Ltd","Xiamen Woobest Interactive Network Technology Co.,Ltd",,"Xiamen Woobest Interactive Network Technology Co.,Ltd",3,2751070.29,3851498.4059999995,2025 중국 iOS+AOS 추정 순매출,1.4,183682,22.238382429177776,282,Xiamen,샤먼,China,city,"命运圣契, 道友请留步, 上古王冠",RPG,"Squad RPG, Idle RPG","RPG Squad RPG RPG/역할수행 角色扮演 스쿼드 RPG 小队RPG RPG/역할수행 / 스쿼드 RPG · 角色扮演 / 小队RPG · RPG / Squad RPG, RPG Idle RPG RPG/역할수행 角色扮演 방치형 RPG 放置RPG RPG/역할수행 / 방치형 RPG · 角色扮演 / 放置RPG · RPG / Idle RPG",Action & Strategy,Mid-core,"3D Anime, 2D Anime, Stylized Realistic","Waifu, Wuxia, Adventure",1.0,1.0,1.0,"Xiamen Woobest Interactive Network Technology Co.,Ltd",,,100.0,RPG,Squad RPG,3451575.7359999996,0.8961643942583525,"命运圣契, 道友请留步",89.61643942583525,86.0,A-핵심 타깃,RPG/역할수행 / 스쿼드 RPG · 角色扮演 / 小队RPG · RPG / Squad RPG · 90% 집중 · LiveOps · Gacha · Mid-core
"Shenzhen Shi Jiu You Network Technology Co., Ltd.","Shenzhen Shi Jiu You Network Technology Co., Ltd.",深圳市九游网络科技有限公司,,深圳市九游网络科技有限公司,3,2743521.71,3840930.394,2025 중국 iOS+AOS 추정 순매출,1.4,217938,13.257966055845129,234,Shenzhen,선전,China,city,"禅游斗地主-官方正版, 天天斗地主（真人版）-官方, 大富豪捕鱼","Tabletop, Casino","Board, Landlord, Fish Shooting","Tabletop Board 보드/테이블탑 桌游 보드게임 棋盘游戏 보드/테이블탑 / 보드게임 · 桌游 / 棋盘游戏 · Tabletop / Board, Casino Landlord 카지노 博彩/棋牌 도우디주/랜드로드 斗地主 카지노 / 도우디주/랜드로드 · 博彩/棋牌 / 斗地主 · Casino / Landlord, Casino Fish Shooting 카지노 博彩/棋牌 피쉬 슈팅 捕鱼 카지노 / 피쉬 슈팅 · 博彩/棋牌 / 捕鱼 · Casino / Fish Shooting","Lifestyle & Puzzle, Casino",Casual,"2D Anime, 2D Cartoon","Tabletop, Animal - Underwater",1.0,1.0,,深圳市九游网络科技有限公司,,HKG: 02660,100.0,Tabletop,Board,3510732.4839999997,0.9140317901840113,禅游斗地主-官方正版,91.40317901840113,86.4,A-핵심 타깃,보드/테이블탑 / 보드게임 · 桌游 / 棋盘游戏 · Tabletop / Board · 91% 집중 · LiveOps · Gacha · Casual
"Qcplay Digital Co., Ltd.","Qcplay Digital Co., Ltd.","Qcplay Digital Co., Ltd.",,"Qcplay Digital Co., Ltd.",7,2726629.58,3817281.4119999995,2025 중국 iOS+AOS 추정 순매출,1.4,490158,8.90611236118402,290,,,China,unknown,"最强蜗牛-休闲放置神作, 阿瑞斯病毒2, 提灯与地下城, 阿瑞斯病毒-Ares Virus, 无尽大冒险：新职业德鲁伊上线, 使魔计划, 骑士冲呀","RPG, Arcade","Idle RPG, Survival, Action RPG, Other Arcade","RPG Idle RPG RPG/역할수행 角色扮演 방치형 RPG 放置RPG RPG/역할수행 / 방치형 RPG · 角色扮演 / 放置RPG · RPG / Idle RPG, RPG Survival RPG/역할수행 角色扮演 서바이벌 生存 RPG/역할수행 / 서바이벌 · 角色扮演 / 生存 · RPG / Survival, RPG Action RPG RPG/역할수행 角色扮演 액션 RPG 动作RPG RPG/역할수행 / 액션 RPG · 角色扮演 / 动作RPG · RPG / Action RPG, Arcade Other Arcade 아케이드 街机 기타 아케이드 其他街机 아케이드 / 기타 아케이드 · 街机 / 其他街机 · Arcade / Other Arcade","Action & Strategy, Lifestyle & Puzzle","Mid-core, Casual","2D Cartoon, 2D Realistic, 2D Anime, 3D Cartoon","Superhero, Post-Apocalypse, Dungeon Crawler",1.0,1.0,1.0,"Qcplay Digital Co., Ltd.",,,100.0,RPG,Idle RPG,2391968.138,0.6266156145786403,"最强蜗牛-休闲放置神作, 无尽大冒险：新职业德鲁伊上线, 使魔计划",62.66156145786403,87.0,A-핵심 타깃,"RPG/역할수행 / 방치형 RPG · 角色扮演 / 放置RPG · RPG / Idle RPG · 63% 집중 · LiveOps · Gacha · Mid-core, Casual"
"Shanghai QuanNi Network Technology Co.,Ltd","Shanghai QuanNi Network Technology Co.,Ltd","Shanghai QuanNi Network Technology Co.,Ltd",,"Shanghai QuanNi Network Technology Co.,Ltd",6,2707269.36,3790177.104,2025 중국 iOS+AOS 추정 순매출,1.4,996269,40.12398857065852,280,Shanghai,상하이,China,city,"掌门下山, 遮天：凡尘一叶, 我的门派, 天之炼狱归来, 魔力宝贝归来：极速版本开启, 方寸对决","RPG, Strategy","Action RPG, Squad RPG, 4X Strategy, MMORPG, Turn-based RPG","RPG Action RPG RPG/역할수행 角色扮演 액션 RPG 动作RPG RPG/역할수행 / 액션 RPG · 角色扮演 / 动作RPG · RPG / Action RPG, RPG Squad RPG RPG/역할수행 角色扮演 스쿼드 RPG 小队RPG RPG/역할수행 / 스쿼드 RPG · 角色扮演 / 小队RPG · RPG / Squad RPG, Strategy 4X Strategy 전략 策略 4X 전략 4X策略 전략 / 4X 전략 · 策略 / 4X策略 · Strategy / 4X Strategy, RPG MMORPG RPG/역할수행 角色扮演 MMORPG 大型多人在线RPG RPG/역할수행 / MMORPG · 角色扮演 / 大型多人在线RPG · RPG / MMORPG, RPG Turn-based RPG RPG/역할수행 角色扮演 턴제 RPG 回合制RPG RPG/역할수행 / 턴제 RPG · 角色扮演 / 回合制RPG · RPG / Turn-based RPG",Action & Strategy,Mid-core,"2D Anime, Stylized Realistic, 3D Anime","Wuxia, Adventure",1.0,1.0,1.0,星火工作室,,,100.0,RPG,Action RPG,2715998.5439999998,0.7165888214388834,掌门下山,71.65888214388833,88.2,A-핵심 타깃,RPG/역할수행 / 액션 RPG · 角色扮演 / 动作RPG · RPG / Action RPG · 72% 집중 · LiveOps · Gacha · Mid-core
"Beijing Beingfungames Technology Co., Ltd.","Beijing Beingfungames Technology Co., Ltd.","Beijing Beingfungames Technology Co., Ltd.",,"Beijing Beingfungames Technology Co., Ltd.",2,2623763.29,3673268.6059999997,2025 중국 iOS+AOS 추정 순매출,1.4,192952,14.41504198134237,242,Beijing,베이징,China,city,"女神异闻录：夜幕魅影, 我的起源",RPG,"Turn-based RPG, MMORPG","RPG Turn-based RPG RPG/역할수행 角色扮演 턴제 RPG 回合制RPG RPG/역할수행 / 턴제 RPG · 角色扮演 / 回合制RPG · RPG / Turn-based RPG, RPG MMORPG RPG/역할수행 角色扮演 MMORPG 大型多人在线RPG RPG/역할수행 / MMORPG · 角色扮演 / 大型多人在线RPG · RPG / MMORPG",Action & Strategy,Mid-core,3D Anime,"Adventure, Sandbox",1.0,1.0,1.0,北京冰封互娱科技有限公司,Sega Sammy Holdings,SHE: 002624,100.0,RPG,Turn-based RPG,3419452.5539999995,0.9309018535738413,女神异闻录：夜幕魅影,93.09018535738413,83.4,A-핵심 타깃,RPG/역할수행 / 턴제 RPG · 角色扮演 / 回合制RPG · RPG / Turn-based RPG · 93% 집중 · LiveOps · Gacha · Mid-core
